MULTIPLE_1	>MT276324-USA-CA///MT276325-USA-WA
MULTIPLE_2	>MT439291-USA-MI///MT439303-USA-MI///MT439315-USA-MI
MULTIPLE_3	>MT370833-USA-NY///MT370860-USA-NY///MT370868-USA-NY
MULTIPLE_4	>MT215194-HKG///MT215195-HKG///MT276600-HKG
MULTIPLE_5	>MT371006-USA-NY///MT371033-USA-NY
MULTIPLE_6	>MT325586-USA-MA///MT325629-USA-MA///MT325636-USA-MA///MT325639-USA-MA
MULTIPLE_7	>MN988668-CHN///MN988669-CHN
MULTIPLE_8	>MT325580-USA-KS///MT325582-USA-MA///MT325583-USA-MA///MT325590-USA-NC///MT325600-USA-PA///MT325601-USA-PA///MT325616-USA-MA///MT325630-USA-MA///MT325631-USA-MA///MT325632-USA-MA///MT325633-USA-MA///MT325637-USA-MA///MT325638-USA-MA
MULTIPLE_9	>MT253696-CHN-Zhejiang-Hangzhou///MT253697-CHN-Zhejiang-Hangzhou///MT253698-CHN-Zhejiang-Hangzhou///MT253699-CHN-Zhejiang-Hangzhou///MT253700-CHN-Zhejiang-Hangzhou///MT253701-CHN-Zhejiang-Hangzhou///MT253702-CHN-Zhejiang-Hangzhou///MT253703-CHN-Zhejiang-Hangzhou///MT253704-CHN-Zhejiang-Hangzhou///MT253705-CHN-Zhejiang-Hangzhou///MT253707-CHN-Zhejiang-Hangzhou///MT253708-CHN-Zhejiang-Hangzhou///MT253709-CHN-Zhejiang-Hangzhou///MT253710-CHN-Zhejiang-Hangzhou
MULTIPLE_10	>MT304474-KOR///MT304475-KOR///MT304476-KOR
MULTIPLE_11	>MT304482-USA-IL///MT184907-USA-CruiseA///MT184909-USA-CruiseA///MT159710-USA-CruiseA///MT159711-USA-CruiseA///MT159713-USA-CruiseA///MT159714-USA-CruiseA///MT159719-USA-CruiseA///MT159721-USA-CruiseA
MULTIPLE_12	>MT325617-USA-IA///MT325619-USA-IA///MT325620-USA-IA///MT325621-USA-IA
MULTIPLE_13	>MT438729-USA-CA///MT438734-USA-CA
MULTIPLE_14	>MT385423-USA-CA///MT374110-TWN
MULTIPLE_15	>MT344950-USA-IN///MT344951-USA-IN
MULTIPLE_16	>MT344945-USA-GA///MT325570-USA-GA///MT325606-USA-SC///MT325623-USA-SC///MT325624-USA-SC///MT304480-USA-GA///MT304481-USA-GA
MULTIPLE_17	>MT325576-USA-IA///MT325618-USA-IA
MULTIPLE_18	>MT370899-USA-NY///MT370934-USA-NY///MT370964-USA-NY
