DISTANCE	r2
"28882/28883"	1	1.0
"17747/17858"	111	1.0
"18998/29540"	10542	1.0
"26729/28077"	1348	1.0
"8782/28144"	19362	1.0
"14408/23403"	8995	1.0
"490/3177"	2687	1.0
"241/14408"	14167	0.997
"241/23403"	23162	0.997
"28881/28882"	1	0.981
"28881/28883"	2	0.981
"29867/29868"	1	0.972
"17858/18060"	202	0.968
"17747/18060"	313	0.967
"490/18736"	18246	0.961
"3177/18736"	15559	0.961
"18736/29700"	10964	0.961
"490/28077"	27587	0.927
"3177/28077"	24900	0.927
"3177/26729"	23552	0.927
"490/26729"	26239	0.927
"490/29700"	29210	0.923
"3177/29700"	26523	0.923
"3037/14408"	11371	0.916
"3037/23403"	20366	0.915
"241/3037"	2796	0.912
"24034/26729"	2695	0.901
"24034/28077"	4043	0.901
"18736/26729"	7993	0.891
"18736/28077"	9341	0.891
"1397/28688"	27291	0.874
"1397/29742"	28345	0.874
"28688/29742"	1054	0.861
"28077/29700"	1623	0.855
"26729/29700"	2971	0.855
"490/24034"	23544	0.835
"3177/24034"	20857	0.835
"18736/24034"	5298	0.802
"11916/29540"	17624	0.789
"11916/18998"	7082	0.789
"24034/29700"	5666	0.77
"29868/29870"	2	0.754
"1059/25563"	24504	0.742
"18060/28144"	10084	0.727
"8782/18060"	9278	0.724
"29867/29870"	3	0.716
"17858/28144"	10286	0.711
"17747/28144"	10397	0.709
"8782/17858"	9076	0.708
"8782/17747"	8965	0.706
"23403/25563"	2160	0.704
"14408/25563"	11155	0.704
"241/25563"	25322	0.7
"3037/25563"	22526	0.629
"14805/26144"	11339	0.622
"833/27964"	27131	0.612
"14805/17247"	2442	0.536
"29864/29867"	3	0.531
"17247/26144"	8897	0.52
"1059/14408"	13349	0.519
"1059/23403"	22344	0.518
"241/1059"	818	0.515
"29864/29868"	4	0.501
"1059/3037"	1978	0.455
"14408/28144"	13736	0.428
"8782/14408"	5626	0.428
"8782/23403"	14621	0.427
"23403/28144"	4741	0.427
"241/8782"	8541	0.427
"241/28144"	27903	0.426
"3037/8782"	5745	0.392
"3037/28144"	25107	0.391
"29864/29870"	6	0.372
"11083/26144"	15061	0.348
"14408/18060"	3652	0.309
"18060/23403"	5343	0.308
"11083/14805"	3722	0.307
"241/18060"	17819	0.307
"14408/17858"	3450	0.302
"8782/25563"	16781	0.302
"17858/23403"	5545	0.301
"25563/28144"	2581	0.301
"14408/17747"	3339	0.3
"241/17858"	17617	0.3
"17747/23403"	5656	0.3
"241/17747"	17506	0.299
"3037/18060"	15023	0.283
"3037/17858"	14821	0.277
"3037/17747"	14710	0.274
"11083/17247"	6164	0.232
"1059/28144"	27085	0.232
"1059/8782"	7723	0.232
"18060/25563"	7503	0.218
"17858/25563"	7705	0.213
"17747/25563"	7816	0.211
"1397/11083"	9686	0.203
"11083/28688"	17605	0.177
"11083/29742"	18659	0.177
"1059/18060"	17001	0.168
"1059/17858"	16799	0.164
"1059/17747"	16688	0.163
"1059/29553"	28494	0.137
"25563/29553"	3990	0.106
"3037/29553"	26516	0.082
"14408/29553"	15145	0.075
"23403/29553"	6150	0.075
"241/29553"	29312	0.074
"26729/28144"	1415	0.073
"8782/26729"	17947	0.073
"8782/28077"	19295	0.073
"28077/28144"	67	0.073
"11083/23403"	12320	0.072
"11083/14408"	3325	0.071
"3177/28144"	24967	0.068
"241/11083"	10842	0.068
"28144/29700"	1556	0.068
"490/28144"	27654	0.068
"3177/8782"	5605	0.067
"8782/29700"	20918	0.067
"490/8782"	8292	0.067
"1059/27964"	26905	0.066
"8782/18736"	9954	0.065
"18736/28144"	9408	0.065
"3037/11083"	8046	0.065
"24034/28144"	4110	0.062
"8782/24034"	15252	0.061
"6040/18736"	12696	0.061
"3177/6040"	2863	0.058
"490/6040"	5550	0.058
"6040/29700"	23660	0.058
"241/26144"	25903	0.056
"23403/26144"	2741	0.056
"14408/26144"	11736	0.055
"1059/11916"	10857	0.055
"6040/28077"	22037	0.053
"6040/26729"	20689	0.053
"25563/27964"	2401	0.051
"3037/26144"	23107	0.051
"11083/25563"	14480	0.051
"241/14805"	14564	0.05
"14805/23403"	8598	0.05
"14408/14805"	397	0.05
"6040/24034"	17994	0.048
"833/29868"	29035	0.047
"3037/14805"	11768	0.045
"25563/28883"	3320	0.044
"25563/28882"	3319	0.044
"833/29870"	29037	0.043
"1059/29540"	28481	0.043
"1059/18998"	17939	0.043
"11916/25563"	13647	0.042
"3037/28881"	25844	0.042
"25563/28881"	3318	0.042
"3037/28882"	25845	0.041
"3037/28883"	25846	0.041
"833/1059"	226	0.04
"3037/27964"	24927	0.039
"25563/26144"	581	0.039
"241/28883"	28642	0.038
"14408/28881"	14473	0.038
"23403/28881"	5478	0.038
"241/28882"	28641	0.038
"241/28881"	28640	0.038
"18877/25563"	6686	0.037
"14408/28883"	14475	0.037
"23403/28883"	5480	0.037
"14408/28882"	14474	0.037
"23403/28882"	5479	0.037
"241/27964"	27723	0.036
"14408/27964"	13556	0.036
"23403/27964"	4561	0.036
"14805/25563"	10758	0.035
"1059/28883"	27824	0.034
"1059/28882"	27823	0.034
"2416/25563"	23147	0.034
"18998/25563"	6565	0.033
"833/29867"	29034	0.033
"25563/29540"	3977	0.033
"28144/29553"	1409	0.032
"1059/28881"	27822	0.032
"8782/29553"	20771	0.032
"23403/28077"	4674	0.031
"241/24034"	23793	0.031
"241/26729"	26488	0.031
"833/25563"	24730	0.031
"241/28077"	27836	0.031
"23403/24034"	631	0.031
"14408/24034"	9626	0.031
"23403/26729"	3326	0.031
"14408/26729"	12321	0.031
"14408/28077"	13669	0.031
"241/11916"	11675	0.03
"11916/14408"	2492	0.03
"1059/26144"	25085	0.03
"490/23403"	22913	0.029
"14408/29700"	15292	0.029
"3177/23403"	20226	0.029
"3037/28077"	25040	0.029
"17247/23403"	6156	0.029
"241/17247"	17006	0.029
"241/490"	249	0.029
"3037/26729"	23692	0.029
"23403/29700"	6297	0.029
"241/3177"	2936	0.029
"14408/17247"	2839	0.029
"490/14408"	13918	0.029
"241/29700"	29459	0.029
"11916/23403"	11487	0.029
"3177/14408"	11231	0.029
"3037/24034"	20997	0.028
"18736/23403"	4667	0.028
"14408/18736"	4328	0.028
"241/18736"	18495	0.028
"1059/14805"	13746	0.027
"1059/18877"	17818	0.026
"1059/11083"	10024	0.026
"833/29864"	29031	0.026
"490/3037"	2547	0.026
"3037/3177"	140	0.026
"3037/17247"	14210	0.026
"3037/29700"	26663	0.026
"18877/23403"	4526	0.025
"241/25692"	25451	0.025
"14408/18877"	4469	0.025
"241/18877"	18636	0.025
"3037/18877"	15840	0.025
"3037/18736"	15699	0.025
"241/29540"	29299	0.024
"14408/25692"	11284	0.024
"2416/14408"	11992	0.024
"23403/25692"	2289	0.024
"241/2416"	2175	0.024
"833/3037"	2204	0.024
"241/18998"	18757	0.024
"2416/23403"	20987	0.024
"2416/3037"	621	0.023
"18060/29553"	11493	0.023
"27964/29868"	1904	0.023
"23403/29540"	6137	0.023
"17858/29553"	11695	0.023
"18998/23403"	4405	0.023
"14408/29540"	15132	0.023
"14408/18998"	4590	0.023
"3037/25692"	22655	0.022
"25563/28077"	2514	0.022
"25563/26729"	1166	0.022
"1059/2416"	1357	0.022
"833/14408"	13575	0.022
"833/23403"	22570	0.022
"17747/29553"	11806	0.022
"241/833"	592	0.022
"24034/25563"	1529	0.021
"3177/25563"	22386	0.02
"490/25563"	25073	0.02
"17247/25563"	8316	0.02
"27964/29870"	1906	0.02
"25563/29700"	4137	0.02
"18736/25563"	6827	0.019
"1397/23403"	22006	0.018
"1397/14408"	13011	0.018
"3037/11916"	8879	0.018
"1059/28077"	27018	0.017
"1059/26729"	25670	0.017
"25563/25692"	129	0.017
"1059/17247"	16188	0.016
"28144/28881"	737	0.016
"1059/3177"	2118	0.016
"1059/24034"	22975	0.016
"23403/29742"	6339	0.016
"28144/28883"	739	0.016
"8782/28883"	20101	0.016
"28144/28882"	738	0.016
"8782/28882"	20100	0.016
"14408/29742"	15334	0.016
"1397/3037"	1640	0.016
