DISTANCE	LOD
"14408/23403"	8995	708.0
"241/14408"	14167	698.05
"241/23403"	23162	697.55
"3037/14408"	11371	618.42
"3037/23403"	20366	617.25
"241/3037"	2796	611.1
"8782/28144"	19362	578.84
"17747/17858"	111	498.28
"17858/18060"	202	475.05
"1059/25563"	24504	473.96
"17747/18060"	313	470.58
"14408/25563"	11155	465.01
"23403/25563"	2160	463.95
"241/25563"	25322	459.23
"3037/25563"	22526	382.16
"18060/28144"	10084	372.32
"8782/18060"	9278	371.2
"17858/28144"	10286	363.07
"8782/17858"	9076	361.99
"17747/28144"	10397	359.24
"8782/17747"	8965	358.17
"1059/14408"	13349	333.39
"1059/23403"	22344	332.9
"241/1059"	818	328.93
"8782/14408"	5626	272.06
"1059/3037"	1978	271.84
"14408/28144"	13736	271.34
"8782/23403"	14621	271.09
"23403/28144"	4741	270.37
"241/8782"	8541	269.39
"241/28144"	27903	268.66
"3037/8782"	5745	253.69
"3037/28144"	25107	253.01
"8782/25563"	16781	205.64
"25563/28144"	2581	205.08
"14408/18060"	3652	197.76
"18060/23403"	5343	196.85
"241/18060"	17819	195.18
"14408/17858"	3450	193.61
"28882/28883"	1	193.6
"17858/23403"	5545	192.71
"14408/17747"	3339	191.27
"17747/23403"	5656	191.08
"241/17858"	17617	191.03
"241/17747"	17506	189.41
"28881/28882"	1	189.25
"28881/28883"	2	189.25
"3037/18060"	15023	185.0
"3037/17858"	14821	181.15
"3037/17747"	14710	178.93
"1059/8782"	7723	165.89
"1059/28144"	27085	165.43
"18060/25563"	7503	151.07
"17858/25563"	7705	147.98
"17747/25563"	7816	146.11
"18998/29540"	10542	137.2
"29867/29868"	1	124.76
"1059/18060"	17001	122.39
"1059/17858"	16799	119.9
"1059/17747"	16688	119.13
"11916/29540"	17624	117.84
"11916/18998"	7082	117.84
"26729/28077"	1348	115.18
"490/3177"	2687	108.7
"24034/26729"	2695	106.68
"24034/28077"	4043	106.62
"14805/26144"	11339	102.86
"29868/29870"	2	102.82
"3177/26729"	23552	102.45
"490/26729"	26239	102.45
"490/28077"	27587	102.39
"3177/28077"	24900	102.39
"18736/29700"	10964	101.72
"490/18736"	18246	101.7
"3177/18736"	15559	101.7
"833/27964"	27131	100.54
"29867/29870"	3	98.46
"490/29700"	29210	98.02
"3177/29700"	26523	98.02
"18736/26729"	7993	97.1
"18736/28077"	9341	97.05
"490/24034"	23544	96.81
"3177/24034"	20857	96.81
"26729/29700"	2971	93.42
"28077/29700"	1623	93.37
"18736/24034"	5298	92.15
"24034/29700"	5666	88.48
"1059/29553"	28494	86.99
"17247/26144"	8897	79.3
"14805/17247"	2442	75.6
"11083/26144"	15061	74.71
"25563/29553"	3990	72.47
"11083/14805"	3722	65.23
